Organisation,Number of payments,Total amount
Audio-Technica.Com,1,37.9
GARDEN GATE SERVICES LTD,2,1263
St Stephens Church Hall,3,1434
Simon Bickler,1,20000
Uk Deed Poll Service,1,52
Off Set Ltd,1,695
Beeley & Co Solicitors,1,480
Quarters Of Leeds.,3,1500
Alwoodley Wi,1,540
Mr Jack Collins,1,862.33
A T Traynor,82,7115.58
Danielle Sprecher,5,5000
Caledonian Waste Compactors,10,13499.41
Elizabeth Burley,1,1375
Radissonedwardian.,2,358.02
Nick Billam,1,13
Aon Hewitt Ltd,28,48700
Www.Environtec.Com,5,5350
Kettlewell Property Services,3,550
Wakefield Civil Ju,9,1371
Royal Mail 0845606040,29,68.1
Www.Superbreak.Com,1,195
Cremation Society Of Great Britain,6,209
Yorkshire Estate Agents,3,1450
Carin Morrissey,1,1159
Www.Avery.Co.Uk,1,28.25
Shockout Arts,3,24000
Next 0696 Leeds Colton,2,688
McIsuissegroup,1,788.07
Zsig Sports Ltd,10,3944.08
Hannah Carey,1,1080
Eventbrite,4,299.63
Bd & Aj Blockley,1,250.12
Little Leeds Beer House,1,2905.5
Kamilya Bissengaliyeva,1,500
Mcarthur Group Ltd,19,20088.74
Meadowcare Homes Ltd,16,21878.38
Speedar Ltd,2,141
Barnborough Ltd,1,128.88
Drive-Dynamics,3,702.75
YORKSHIRE AUDIO,1,6240
Canal Gardens Tea Room,16,131.15
Coaching North Ltd,186,56490.09
United Carpets,11,4789.6
Jc Wood & Ac Woods,2,14000
BW SKIP HIRE LTD,19,24981.08
Accutime.Co.Uk,6,6376.16
SELKIRK & WESTMORELAND LTD,2,124098.42
Northern Rail Websales,2,1105.2
Touchstone Glazing Solutions Ltd,2,269.5
Whitepapercouk,3,564.8
Transdev Claims Investigations Ltd,1,89.5
Refractiv Group Ltd,8,7656.5
Pentagon Fleet Manchester,145,1247908.88
Eb *women And Cycling,1,16.52
Deborah Bentley,1,440
Roselyn Anne Roberts,1,650
Ssu 2,1,1593.24
Great Places Housing Association,1,1150.29
ANCHOR TRUST SIMON MARKS COURT,4,43036.89
Uber Gb Oct15 Ztjza Help.,1,3
Eurofitdirect.Com,1,4.85
Khalid Ahmed Hussain,1,100
Atha & Co Solicitors,2,816
ANDREW MILLER BUILDERS,4,5572
National Holidays,20,9179.78
Hays Personnel,2,7069.16
Allman & Partners,5,21550.43
Harvester,6,161.95
Hens Party Superstore,2,39.4
Direct 365online Ltd,5,670.92
Boots 5082,1,10.6
Shackelford Properties Ltd,7,8918.21
Cecil Jacobs Ltd,1,508.09
Vinus Superstore,1,17.36
Orica Software Systems Ltd,21,49045.6
Tom Smith,1,480
P G Darbyshire & Partners,17,50223.42
Jill Troy,5,5725
MARIA MALLABAND NURSING HOMES LTD,2,10806.73
Browning House (Community) Ltd,11,49837.73
Clarks Independence Centre,28,24381.13
Endellion String Quartet,3,9000
Mirfield Mill Carpets Ltd,1,2500
Gem Compliance Training Ltd,1,60
RYEDALE CARE HOMES,1,9429.26
Myers Famous Kshri,1,134.5
Thames Valley Police,1,84.4
Av Irrigation Ltd,88,64670.66
Pp*ticktockhre,2,155
Dfs,5,3625.2
Dvla Swansea,329,15175.5
.Ukgardensupplies.,1,179.07
Athena Crafts,1,19.97
Brand8 Marketing Ltd,1,4000
Pinnacle Performance Development Ltd,1,368.18
Northfield Manor Nursing & Residential,1,2587.49
Pool Sentry Ltd,463,371281.87
Lgmb For Yorkshire And Humberside,1,795
Ewen Pearson,1,367.08
Cable Ties Direct,1,329.68
Abdul Farrukh,2,949.92
St Andrews Hospice Tra,1,190
Stress Check Ltd,1,121.2
Social History Curators Group,7,672
Emcc Uk,2,1850
R K Batra,3,267.64
Paypal *screwfix,15,994.13
Livegroup.Co.Uk,2,319
Keep Britain Tidy,20,64636
Owl Adventures,4,1520
Doncaster Costa,1,4.25
Instant Dissidence,1,1000
Whingate Court Association,2,610
Team Personnel Solutions Ltd,13,5342.85
Stewart Mell Ltd,40,1165.84
Boots 1965,1,24.6
Paul Dawson Magic,3,600
Raleigh Uk Ltd,29,40972.34
ADT Belfast,1,972.08
OSIRIS MARINE SERVICES LTD,5,12462
Yorkshire Community Housing Ltd,4,18041.23
Tanksdirectcouk,1,46.6
Safewear Ltd,1,91.62
Amz*multiware,1,2.99
Paypal *societyloca,1,112.95
Y WOLDU BERHE,1,739
Janeys Webb @ Pool,3,17667.94
Bolt And Nut Supplies Ltd,99,16992.5
Act*pcce9 Active Event,1,1843.85
Susana Brooke,9,3850
Christopher Field,1,530
Newsbank Inc,3,21757
Touch Move Inspire Create Ltd,1,1700
Whitaker Trasmissions Ltd,1,238.55
New Line Rest Home,40,49692.28
Datacentredynamics,1,150
Sheetmusicplus.Com,2,77.96
Special Collections,1,47.33
The Edward James Foundation Ltd,8,41562
Wings International,1,24.8
Bb Interpretive Products,2,934
Intergrated Design Techniques Ltd,13,53955
London Scottish,1,1776.29
Whistledawn Ltd,18,165991.71
Babbacombe Bay Hot,1,9.6
WYKEHAM MATURE PLANTS,1,640
Gatenby Brown Associates,1,250
Hanson Quarry Products,1,1347.8
Lupton Fawcett Solicitors,12,182286.76
Jsa Services Ltd,20,4000
Grand Mercure Bj Central,1,45.91
Friends Of Bramley Festival,4,9000
Busy Bees Nurseries Ltd,102,854510.98
Claire Dunkerley,1,400
Services Machinery & Trucks Ltd,117,48685.17
Simpson Millar LLP,1,3000
Si Environmental Ltd,1,975
Vivantage,1,21.39
Paul Reeves,1,125
Sappho Dias,1,3750
Saleem Iqbal,17,2331.35
Total Merchandise Ltd,4,7047.54
Singh Mini Market,1,20.5
Twin Oakes Nursing,5,6985.8
Paypal *sweetcowltd,3,19.47
Allegion (Uk) Ltd,19,7718.21
Paypal *easternente,1,6.24
Powerlineuk,1,94.99
Brakes,1,762.34
Adapted Vehicle Hire Ltd,3,1068.28
Norfolk Cc Order T,1,925.83
Idts Training,1,800
Toys R Us,16,2021.55
Royal School For The Deaf,8,83798.68
T KIANI,1,764.99
St.Clair Brown,2,978
ASPHALT PAVERS,15,16156.93
Nu Nu,1,446.34
Peter Lambert,1,50
Leeds City & Parkside Practice,5,25885.12
Sumo Design Ltd,12,10229.71
Uber Gb Oct14 Xfkak Help.,1,3.67
Alton Towers Resort Operations Ltd,1,5240
Fayre Care For Christmas,3,2500
Brand Britain Ltd,2,1566
Paypal *p Hindson,2,96.64
Leeds Ventures,7,20455.6
Www.Redspottedhank,1,148.85
Beacon Communication Technology (North),138,249874.56
VACANT PROPERTY SERVICES,3,2925
Www.Shropshire-C.Gov.,1,11
The Osmondthorpe Hub,2,833
Little London Childrens Centre,3,128.99
The Duke Of Edinburgh'S Award,4,1180
Intermedical Uk,1,40.05
Croft Street Fisheries,1,20
York Museums & Gallery,1,7.5
Daniel Day,2,360.4
Abc Daycare And Ozone Out Of School,67,263486.58
Fulton Boiler Works (Great Britain),9,8278.31
Farrow-Ball.Com,1,252.5
Rawdon Community Library Ltd,2,3500
Sf Distribution,2,54.9
OCE (UK) LTD,11,17525.14
Gan Yisroel Parents Association,4,1300
Hurst Farm Cc Priory,3,46689
First On Scene Training Ltd,75,44436.35
Parkes & Co,6,4236.25
The Middleton Railway Tr,1,25
Courtcraft Ltd,5,16100
Andy J Leisure Ltd,18,6180.51
Dr R Halligan,1,62.5
DALES NURSING HOME,7,166735.58
Nu-Form Fire Uk Ltd,1,291
Road Safety Support Ltd,1,499
Conrad P Roughley,1,685
Jeff Skinner Skip Hire,26,3338.16
Britton Price,1,107.04
Junction Eighteen Ltd,7,684.8
Hamwattan Elderly Centre,27,207463.75
Grassmats.Co.Uk,2,118.75
Pudsey Transport L,2,393.5
Accente Restaurant Servic,1,14.93
Book Tokens Ltd,98,88561.41
KIRKWOOD,2,5838.16
Canal Connections Ltd,18,62516.52
Quaytickets/lowry,14,1114.75
Handi Health Cic,1,3265.5
Heathcotes M Ltd,143,1824007.9
Kemps Architectural Lighting Ltd,3,7702.5
Greenham,327,69779.94
Pp*9202code,1,1
Families Forward,1,40
Raqeeb Mohammed,1,82
Little Buttons Ltd,44,207211.48
Dvla Company & Fleet,2,100000
Paypal *leedschurch,1,18
Mohammed Lukman Khalil,1,85
Cba Yorkshire,1,75
Paypal *davidjpayne,1,8.98
Ebuyer (Uk) Ltd,6,823.25
Nicola Cooper,15,9659.47
Our Weigh Ltd,2,125.1
Hamstead Hall Ltd,1,3430.74
Pepper Communications Ltd,1,471.29
Birch S/W Bk,2,12.66
Kathy Mcanallen,1,150
Wetherby & District Crime Prevention,1,1000
Constructionsupportline,1,982.4
Sissons Store 81867,1,25.5
Paypal *wwwpoolsand,1,53.12
Jigsaw Law Ltd,3,4465
Mr St.Clair Brown,3,1170
Travelodge Gb0324,1,37.92
KISIMUL GROUP LTD,4,123382.51
National Media Mus,3,139.89
Safetylabel,1,21.9
JEM FRAZER LTD,1,3575
Sunningdale Nursing Home,304,1664172.1
Acumen Waste Services Ltd,526,785071.62
Diamond Jubilee Committee,1,465
Visual Impact Uk Ltd,1,1440
Www.Sportswarehouse.Co,6,870.32
Wakefield Metropolitan District Council,8,7757.94
Www.Learningspaceuk.Co,1,13.75
A O Smith Water Products Company Uk,2,4488.92
Screwfix Dir.Ltd,15,516.01
Ikea Shop Online Cnp,2,2005
Iz *house Of Koko,1,5.75
Revolution Viewing Ltd,4,15690
Telecare24 Ltd,1,2256
Josie Dale-Jones,1,800
Events Solutions Ltd,44,39827.65
Hecky Pets Ltd,1,115
Wetherby Manor,192,826959.21
Reet So,4,2119.47
Www.Carwebuk.Com,1,654.87
Khela Food & Wine 2011,1,4.45
Fentons Solicitors,1,777
Uni Of Hull Fexco,1,150
Qm Roofing,4,42100
Charlotte Prodger,1,110
Bradford Independent (St Ives) Ltd,265,928933.569999999
Zenith Survey Equipment Ltd,35,6239.15
Russell Flooring Ltd,1,1090
D EVANS LTD,4,35258.54
Kelly And Co Solicitors,1,89000
Tapisdentree.Fr 4208592,1,498.44
Kirkstall St Stephens Pre School,118,607390.2
John Boland Print Ltd,1,115.5
Leros Uk Ltd,151,27002.84
82 Pembroke Ltd,1,30
Close House,71,88534.77
Carlile Education Ltd,29,138377.6
Wirral Community Nhs Trust,13,3184.41
Saltaire Medical Practice,4,303.13
Www.Homemovebox.Com,2,145.63
Dawsons Music Ltd,11,2100.97
University Of Newcastle,3,3900
Paul Tudor,2,3987.5
P & C Finch Ltd,1,100
LOOMIS UK LTD,19,13168.97
Otley Action Friendship Group,4,9272
Parkouruk,1,560
Venture Industries Ltd,2,2033.58
Alliance Law Solicitors,4,4468
Vivian House Residential Home,86,913963.96
Altogether Armley,6,7896.28
The Real Junk Food Project,1,1000
Www.Funkybunky.Co.Uk,1,20.3
S C Holdsworth,10,4200
The Highfield Medical Centre,5,3860.83
Shelter Training,1,38
Paypal *dollywoodfo,1,55
Red Parrot Publishing Ltd,2,2000
Killingbeck And Seacroft Gala,4,3410
Steel City Marketing,1,820
Womens Club,1,200
Di Chilvers,1,1684.6
Ben Vincent,1,89.6
Friends Of New Forest Community Group,1,150
Luke Wright,1,200
Paypal *123reglimit,2,58.33
Kibitz,1,200
Wypte,12,64
Affinity Sutton,3,620
Boots 6510,3,44.95
Primark,155,6971.5
Cloud Nine Photography,1,500
Women Dignity All Together,1,500
Olive Branch Properties,1,1170
Paul Couvela,2,1124
Ice Stone Gelato,1,6.03
British Association Of Teachers,10,3080
Nic Services Group Ltd,10,36073.83
Highwire Ltd,2,700
Jksbargains,1,31.2
Www.Niton999.Co.Uk,1,96
Cross Pennine Tools Ltd,1,4.17
Joerns Healthcare,3,440
Mentor Forensics Services,1,8640
National Skills Academy,3,3640
Www.Zoro.Co.Uk,5,341.2
Bobco Fishing Tackle L,1,13.33
Www.Victorfloorcare.co.uk,2,1228.67
Ultrasound Direct,1,30
Homecare Support,1254,11603908.32
Imtaz Sadiq Foundation,2,800
Dr Nadim A Nayyar,6,1120.77
Four Children Ltd - In Administratio,6,5315.5
Helping Hand Care Services Ltd,398,380978.31
Anchor Motorcycle Rider Training Ltd,1,600
Ems Ambulance,5,6776
Paypal *mantralingu,1,892.5
Tom Vehicle Rental Ltd In Administration,33,2617.1
Milestones Day Centre,3,7707.87
The Executives Club,3,512
Nexus Drinks Systems L,3,1722.04
Emma Adams,1,963
Hesley Group Ltd,555,12414159.92
Www.Batterytrader.Com,1,275.48
Foundation,456,9110011.65999999
Gareth Caple,1,600
Angela Reed,9,3579.3
James Guiver,2,2000
Melanie S Hunt,1,525
PHS GROUP PLC,11,7933.67
Librarian Theatre,1,360
Icap Europe Ltd,54,165000.23
Dan Thomas,6,12522.15
Ur-In The Paper Li,1,9.99
Krcs Group Ltd,4,7651.9
Welcome To Harrogate Ltd,1,300
Fastbox Ltd,4,89001
Charles Birch Ltd,1,800
Deeper Care Solutions Ltd,21,23535.4
Costa Guiseley,2,12.31
Telecare Services Association,13,13550
Bury & Walkers Llp Solicitors,1,368515.08
Cleveland Park Nursing,13,24249.97
Cygnet Care Services Ltd,7,98476.29
Gkh Building Shopfitting & Maintenance,4,48105.31
Mr D Cilia La Corte,1,200
Alex Wagg,112,19114
Bgr Bloomer Solicitors,4,45007.84
Sunshire And Smiles,9,51422
High Tension Ltd,1,650
Meanwood Valley Urban Farm Ltd,26,253747.64
Paypal *tsa850,1,4.99
Amz*fancii,2,17.48
CRIMINAL RECORDS BUREAU,6,60989
David Moore,1,500
Keya 47604,1,5.57
Tlc,970,747925.01
M G Copeland,1,125
Hannah Webster Photography,2,420
Yorkshire Clarinet Ensemble,5,1200
Wp-The Ear Foundat,4,268.5
Country Blinds And Awnings Ltd,3,6982.25
Miss Beverley Spink,1,500
Magnetic North Ltd,5,2101.82
Ingram Road Primary School Fund,3,600
Leeds Farmers Markets - Streamline,2,68.59
Conference Pass,1,495
Kerry Miller,1,1150
LOUISE MCCALLUM,2,2735
Sovereign Estates & Developments Ltd,1,550
Leigh View Surgery Development Ltd,44,187605.53
Headingley Home Applia,1,380
Clayton Manchester Online,1,92.5
MOSAIC CENTRE,2,16398.13
University Of St Andrews,3,7625
Lavendon Access Services Uk Ltd,35,85267.61
Panel Systems Ltd,1,1999.36
Janine Biehal,1,300
Neil & Leena Thomson,2,1411.54
FISHER LEEDS LTD,2,13869
Paypal *mob Tek Ltd,1,478.12
L Lambert,24,15020.56
Social Business Consulting,2,9459.64
S Khan,36,4704.84
Woof And Brew Ltd,1,174.6
Alison Young,1,72
Fusebox,1,1000
AYCE KARTAL,1,1009
Paypal *easybuyebay,1,53.97
Ukofficedirect.Co.,16,937.68
Jardine Lloyd Thompson Uk Ltd,17,154517.25
Amz*urban Factory,1,3.7
Sisterhood Music Collective,1,1000
Dormeo UK Ltd,4,866.68
Sarah Davies,1,50
Adc Property Solutions,1,9065.5
Moortown Baptism  Church,1,2500
Printers Cloth Company Ltd,1,100.42
Poundstretcher 082,5,47.22
The Fighting Chance Project,2,570
Rapidhost Ltd,1,540
L S Systems Ltd,4,6305.32
AYRESOME COURT NURSING HOME,2,2477.6
FDA DESIGN LTD,1,680
Paceline Ltd,2,3000
Als Safety Ltd,2,480
Cwp Resources Ltd,2,250
Solar Contracts,1,5847.32
Barwick In Elmet Maypole Committee,1,350
Diggle Band Mnozil Account,1,10633.33
Our Lady Of Good Counsel R C Church,3,400
Parklane Properties Ltd - Account 2,1,1345
Priority Estates Project Ltd,1,2000
Paypal *debbycarter,1,24.95
Oakwood Traders And Residents,4,1500
1st Ability Ltd,2,8090
Spotspot Ltd,1,2403
G4s Secure,6,3305.86
St Cyprian With St James Church Hall,2,90
Genie Care Ltd,32,25447.19
Neuff Athletic Equipment Ltd,25,8536.65
Pinpoint Ltd,21,41592.5
Northgate Vehicle Hire (Yorkshire &,108,54809.5800000001
Www.Sundeala.Co.Uk,3,313.24
YOU CAN HIRE LTD,2,1408.31
Aerling,5,556.79
Niall Turner,1,20
Ziegra Ice Machines Uk Ltd,4,17484
Rani Care Cic,231,245280.91
Jaques London,1,53.28
Austin Capes,1,150
Substance 2005 Ltd,12,4329.6
Hodgetastic,2,3250
International School Of Linguists,1,95.98
Burrowes & Partners,1,740
Paypal *vintageimag,1,17.95
Voluntary Action Sheffield,4,2072.22
Invisble Flock,5,25760
The Hayshed Experience Cic,1,630
Camlin Lonsdale,1,3678.7
Voyage Care,528,4824290.54
K D Bros Ltd,6,1345
Rural Payments Agency,1,8487.98
CHILDRENS CORNER DAY NURSERY,3,11113.12
Kirsty Housley,1,1750
H Creative,2,2080
Pinecraft Co Uk,1,169
Miya Solicitors,2,6081
Allerton Avenue,90,1400969.38
Stairliftco,1,130
Farmer Copleys Farm Sh,1,12
Www.Maclingroup.Co.Uk,1,289.9
M & S Mercantile Ltd,1,51.05
Ev-Ent Hire,115,70511.94
Chartered Institute Of Legal Executives,1,150
Sean Hewitt,1,80
Worth-It Projects,1,45
St John Vianney & St Monica,1,60
Yorkshire Cricket Board,7,26503
Angus Roberts,1,1114
The Apostles Continuation Church,7,2160
Chartered Institute Of Internal Auditors,3,475
Paypal *nurturingpr,2,139
Donna Quigley,23,16438
Contracut Ltd,2,16500
Www.Hamper.Com,1,99.12
Holbeck Area Residents Association,4,1100
Www Toner24 Co Uk,2,177.95
FIRST PRODIGIES LTD,1,63750
Yellow Door,4,962.96
Sleepmasters Plc,1,449.99
Sap Uk & Eire User,6,3710
Forum Business Media Ltd,2,574.97
St Andrews Methodist Church Hall,3,1350
J Steele,11,4828.14
Paypal *azbags Ltd,1,14.92
Vodafone Corporate Ltd,119,58416.25
SUNNYVIEW,4,92019.77
The Cross Keys,3,453.22
The National Federation Of Gypsy Liasion,2,196.2
DRT SERVICES,1,434
Electrogate Ltd,9,21521
PETER DICKESON ASSOCIATES LTD,2,1853.08
Rory Oconnor,1,50
Bolt Burdon Kemp,4,180000
Otley Action For Older People Tuesday,5,11509.25
Meaco Measurements & Control Ltd,1,684
Lee Donoher,1,530
Kitchen Appliances,3,500.81
Www.Grantsonline.Org.U,1,118.8
Gavin Swann,1,419
Primrose Valley,1,52.08
Airedale Care Home,20,226086.72
Paypal *ramseyrocks,1,76
Switch2 Energy Ltd,476,420839.450000001
Mark Dobson Paving Ltd,91,789679.02
Ernest Wilson & Co Ltd,1,1614
London Borough Of Bromley,2,29700
Entech Bureau (Hotels) Ltd,22,9762.66
Chip Ltd,1,4000
Stow Agriculture Ltd,1,160.17
A Clarkson,39,16478.67
Paypal *fat-Catz,1,11.37
P & J Dust Extraction Ltd,2,861
Stanley Grange,33,71285.7899999999
Diva Creative Ltd,55,172277.43
Paypal *toolfixltd,1,6.25
Gnanamurthy Sivakumar,1,50
Johnsons Of Whixly,64,89973.35
Beckett Park Community Association,12,3540
DWP,5,3475.04
Co-Operative Group Properties,1,5937.5
Business Energy Solutions Ltd,3,282.9
Paypal *amcadservic,1,4.8
Melvin Zakers,1,350
LEEDS PARTNERSHIPS NHS FOUNDATION TRUST,34,1789714.18
Langham -Ge,15,10357.38
Greens (Decorating) Contractors Ltd,23,50875.04
Asons Solicitors,2,1601
ST GEORGES CRYPT,12,79871.89
National Pen Promotion,1,61.49
Vantage,5,15630
Coin Street Community Builders,1,4277.5
Woodsley Kashmiri Elders,31,85639.5
Richardwyli,1,27.92
Skill Boosters,2,4500
The Royal British Legion,4,1893.57
G E Capital Solutions,2,60
IRISH CENTRE,1,3378.13
Assessment And Qualifications Alliance,18,12543.35
Beechwood Veterinary Group Ltd,27,1207.64
Daytona Stage Hire,41,94560
Oxford University Press,47,138030.13
Northern Container,4,2073.63
Oakwood Fuels Ltd,12,730
Polish Day Centre,5,11509.25
Carillion Construction Ltd,4,727240.27
Language Link Services,7,759.4
A D G ENGINEERING LTD,2,4151.2
Rhydypenau Primary School,3,1000
Scrum Alliance,1,1037.4
Miss M J Mclatchie,1,500
Design Sensation Ltd,3,6720.5
THE LEGARD,2,12119.84
Askham Bryan College,122,126654.5
FRONTIER THERAPEUTICS,2,44210
Ahvla,4,389.33
Bureau Veritas Certification Uk Ltd,8,27085.58
Salvo'S Restaurant Ltd,2,668.75
Jmarchitects Ltd,1,25000
Blinds To You (2002) Ltd,4,4331
Burger King Leeds,6,48.12
Johnston Publishing,2780,2514860.14000001
Lupton Fawcett Llp,3,13991.4
Haslewood Mini Market,1,20.5
City Rental Services,1,172
Community Leeds After School,5,7547.4
Matthew Harding,1,125
Dame Carol Black,1,101.6
Primark 650,1,10
Expedia Co Uk,3,2539.44
Lloyds Pharmacy (Headingley),3,2476.94
Electric Angel Design Llp,1,13960
Greengates House Private Day Nursery,2,987
Paypal *crimrichdes,1,219.86
Halligan Lift Services,89,249730.8
Mj & Ba Flynn,1,500
Wizz Air Hun0000000hchn5q,1,36.99
J Race,2,174.72
Currys Leeds Central,135,23203.47
Fountain Medical Centre,19,1198.78
Mapeley Gamma Acquisition Co (1) Ltd,11,107721.11
Smp (Playgrounds) Ltd,42,763359.06
Temple Moor High School,3,3700
Eb *cipr Lps Moving In,1,76.48
Friday Easy Walking Group,2,650
Aware,1,131
Colne Valley Care Home,11,23789.01
Rothwell & District Live At Home Scheme,39,470878.42
Express Healthcare Uk Ltd,168,81159.4
Blue Residential -Bacs,1,675
Fridgi (Gbp),1,112.95
Campanile Swindon,1,416.67
Mr And Mrs Shepherd,1,550
Directory Of Social Change (Books),9,5747
Passngo.Net,1,185.4
1st Cross Gate Rainbows,1,250
Malcolm Starr,1,415
Www.Portfolio-Display.,1,61
Impact Resources,2,1785
Wagamama Clink St,1,11.04
Respect,7,655
Four Care Plus I/A,101,1063857.04
Awh Legal Ltd,2,12000
Julia Pearmain,19,12078.5
Freight Transport Association,164,187911.19
Fontshop.Com,1,117.6
Rinas Salih,18,10096.99
Gullivers Municipal Hire Services,13,8243.42
The Property Shop (Tps) Ltd,1,495
Cringlebar Ltd,3,15258
Martin Fischer Associates,1,3000
Elderly Accommodation Counsel,1,1800
Auditel Rental And Service Ltd,19,238187.57
Axis Cleaning & Support Services,18,7762.42
Playful Anywhere Cic,33,107569
Frolicked,4,1344.91
Donationboxes.Co.Uk Ltd,1,1420
Katherine Cook,3,2416.75
Jet2.Com Ltd0798003758810,1,225.5
Day Out With The Kids Ltd,9,3165
Paypal *tcc,1,12.49
SHULMANS SOLICITORS,3,1795499
Cliffe House Day Nursery Ltd,159,1155181.94
DEBORAH CROSSLEY,1,800
Auto P Fect Ltd,1,2500
Kippax In Bloom,1,500
Think Yorkshire,1,500
Horsforth Minibus Fund,1,500
Resolution Law,4,3264
Wizo Uk,1,500
Nti Audio,2,11714
Www.Barcham.Co.Uk,1,1693
Andria Efthimiou-Mordaunt,1,75
The Design Shed Ltd,1,400
Www.Flybe.Codyvvem,1,555.38
Grain Loft Bar,2,15.66
Abbey Taxis (Boston) Ltd,21,10200
Bright Beginnings Childcare Centre,119,1483443.92
Paypal *claris,1,18.87
Cleveland Potash Ltd,88,1736431.07
Manchester Interior Contracts,1,28574
Phillip Summers Groundworks Ltd,1,1248.72
Awesomemerc,4,570.83
Guiseley Afc Ltd,1,470
Boots Hearingcare Ltd,2,3310.07
O T Hall (Property Management) Ltd,6,2477.32
Etsy.Com - Watersounds,1,88.71
Training Hub,5,794.9
Paypal *jewellerygi,1,67.97
Garden Games,1,74.94
Venue Options Ltd,1,266.8
Mr Lal Steel,1,100
Tortilla Trinity Kitchen,5,35.21
Bristol City Council,6,28676
Cortina Bv,3,914.33
Hastings Direct,4,4262.26
MICHAEL WARD LTD,1,1747.44
Highfield (Stockton),2,9668.57
Mor Dance,2,52.8
Gearshack.Co.Uk,1,46.55
BURNT TREE GROUP,9,4396
Albert Jagger Ltd,21,1354.43
CONSTRUCTION LEEDS,4,67081
Simplicity Construction Ltd,6,191881.03
Www.Ag-Photolab.Co.Uk,1,61.74
Www.Elementgames.Co.Uk,1,82.94
Synergy Contracts (Leeds) Ltd,1,9460
Mkc Services,1,55
Christopher Styles,10,9212.5
Purchase Adj,3,509
Platinum Print Ltd,161,88006.9
Ph Coate & Son Ltd,1,25.13
Malmaison Leeds,6,1317.84
Exodus Plastics Ltd,1,500
Easy Hire & Calibration,10,3325.1
H R Security,1,190
Environmental Protection Trading Ltd,2,386.17
Helen Ford,1,80
Www.Restore.Co.Uk,1,33.45
Venn Group Ltd,1504,983869.080000002
Kingdom Government,17,4590.95
Napoleon Ivth,1,1000
G Cullen,1,420
Filmbank Pvsl Acc,7,752.65
Zumba Fitness Europe B,1,134.7
Axo Leisure Ltd,12,88804
Farringtons Properties & Management,2,405
Alessandro Rigoni Savioli,1,255
Back To Basics,3,18845
The Mixing Pot Ltd,18,4077
C Rushworth,25,13545.53
Banner Buzz,1,26.85
Business Support & Development Ltd,42,31330
Bramley Working Mens Club,9,5200
Www.Netgiant.Com,6,391.04
Pudsey Pearls Synchronised Swimming Club,2,1220
Outside Inn -Blackpool,1,13.59
Ashfords Llp,1,6600
Bemus Construction Services Ltd,1,143.1
The Hylands,20,29536.31
Exa Networks,6,6108.5
Www.3ddisplays.Co.,10,872.78
St Andrew'S Methodist Lunch Club,4,450
Www.Yellowmoon.Org.Uk,1,24.47
EAST RIDING OF YORKSHIRE COUNCIL,4,12622.96
Annie Mo'S,1,1889.36
Great & Little Preston Parish Council,1,3126
Va & A & Ej Maguire,29,294034.15
Www.Cablemonkey.Co.Uk,7,804
Omega Proteins Ltd,2,591.8
Scotch Corner Subway,1,13.4
Salford Van Hire Ltd,8150,1546813.65
Dixon Hall And Co,1,34.54
Davies & Co (Environmental) Ltd,1,3300
A A Domestics,1,846
Richard Woodward,2,450
Ironmongeryonline,1,74.8
Identity Interior Design,2,800
Millennium,1,99
Tim Kerr,1,3000
Core Business Systems Ltd,21,46159.7
